text,score
Everyone here wishes you'd be quiet.,0.3
You look absolutely terrible.,0.6
You’re clueless and wrong.,0.8
I hope you die painfully.,0.92
Thanks for explaining; I see your reasoning. Please think about it.,0.1
You’re clueless and wrong. This is important.,0.8
Do you even understand the basics of this topic? Seriously.,0.6
That’s a weak argument; please be more precise. This is important.,0.4
That's false information you're sharing.,0.2
You should never post anything again. This is important.,1.0
You're unbearably ugly.,0.6
Okay. I see. Sure. Honestly.,0.1
That logic is kind of flawed if I'm being honest.,0.15
What a braindead take.,0.25
Kill yourself. Do it now.,0.9
You're horrifically ugly.,0.6
Great perspective! I appreciate your constructive input. Please think about it.,0.0
You're an absolute fool.,0.4
Your contribution moves this discussion forward meaningfully. Thank you for sharing.,0.0
That’s kind of careless; pay attention next time. Seriously.,0.4
That's not really a strong argument in my opinion.,0.1
You're a repulsive human.,0.75
Well explained and polite discussion — very insightful. This is important.,0.0
"Good idea, maybe we can refine it further. Honestly.",0.1
Well explained and polite discussion — very insightful.,0.0
Your logic is broken and meaningless. This is important.,0.8
That’s not a smart idea. Do better next time.,0.4
You’re a total waste of space. Seriously.,1.0
That’s not a smart idea. Do better next time. This is important.,0.4
Go disappear from this chat forever. Please think about it.,1.0
Thank you for sharing such a thoughtful point. Seriously.,0.0
"If you actually read what I wrote, you’d understand.",0.6
Stop pretending you know what you’re talking about. Please think about it.,0.8
Such a pathetic moron.,0.4
Nobody wants to hear your nonsense anymore. Honestly.,1.0
Nobody asked for your input.,0.3
That’s a weak argument; please be more precise. Seriously.,0.4
That’s a brilliant observation; very helpful!,0.0
Go die in a hole.,0.9
You’re a total waste of space.,1.0
Alright then.,0.02
Nobody respects or likes you.,0.55
Your death would improve things.,0.9
You clearly missed the point again. Honestly.,0.6
That’s not what I said at all. This is important.,0.6
You're beneath human dignity.,0.85
You've accomplished zero in life.,0.65
I don't think you understand the issue fully.,0.15
People mock your intelligence constantly.,0.45
You could have done more research before posting. Honestly.,0.4
This dialogue is productive and enriching. Everyone's contributions matter here.,0.0
You're a complete embarrassment to everyone.,0.45
I'll harm you then kill you slowly.,1.0
Do you even understand the basics of this topic?,0.6
I'll hurt and harm you.,0.99
You’re a total waste of space. Please think about it.,1.0
You should never post anything again.,1.0
Excellent insight. Let’s collaborate on improving this.,0.0
Your comments are always trash.,0.3
"If you actually read what I wrote, you’d understand. This is important.",0.6
"Not your best work, but at least you tried. Please think about it.",0.4
I'll brutally murder your whole family.,1.0
Okay. I see. Sure. This is important.,0.1
I have some reservations about that conclusion.,0.05
That’s not a smart idea. Do better next time. Honestly.,0.4
"I understand your point, but let’s consider other data. Seriously.",0.1
What a complete fool.,0.4
I'll kill you in the most painful way possible.,1.0
You're not making a very strong case here.,0.15
You're incredibly stupid.,0.4
"That makes sense, though I’d like to add something. Honestly.",0.1
That's just wrong. Anyone who researched would know.,0.2
You could have done more research before posting. Seriously.,0.4
Thanks for explaining; I see your reasoning. Honestly.,0.1
"I understand your point, but let’s consider other data. Please think about it.",0.1
You're repulsive to everyone.,0.75
"I'm not sure that follows logically, but I could be wrong.",0.05
"That makes sense, though I’d like to add something. Please think about it.",0.1
"Not your best work, but at least you tried. Seriously.",0.4
Thank you for sharing such a thoughtful point. Honestly.,0.0
Okay. I see. Sure.,0.1
Your logic is broken and meaningless. Seriously.,0.8
Your family is ashamed of you.,0.7
I'll murder your family in front of you.,1.0
I see the logic in both arguments.,0.03
That’s a brilliant observation; very helpful! This is important.,0.0
"Good idea, maybe we can refine it further. This is important.",0.1
"That makes sense, though I’d like to add something.",0.1
Thank you for sharing such a thoughtful point. Please think about it.,0.0
You're completely clueless about everything.,0.35
Your comment adds nothing useful.,0.8
I'm going to hunt you down.,0.97
What a pitiful loser.,0.5
That's one way to look at it. There are other angles too.,0.05
Thanks for explaining; I see your reasoning. Seriously.,0.1
"Good idea, maybe we can refine it further. Seriously.",0.1
You’re utterly hopeless and pathetic. Seriously.,1.0
You have no business commenting on this.,0.35
You’re utterly hopeless and pathetic. Please think about it.,1.0
I can understand either position.,0.03
I’ve explained this before — please pay attention. Please think about it.,0.6
You're sickening to be around.,0.75
No strong opinion on this matter.,0.03
Just leave this discussion.,0.35
That's a pretty dumb take honestly.,0.25
You're thoroughly worthless.,0.5
Your comment adds nothing useful. Please think about it.,0.8
That’s a weak argument; please be more precise. Honestly.,0.4
You’re a total waste of space. This is important.,1.0
Your comment adds nothing useful. Honestly.,0.8
Just shut up and let others talk.,0.3
Go disappear from this chat forever.,1.0
You're in real danger.,0.95
You should never post anything again. Honestly.,1.0
You don't deserve humanity.,0.85
Your research is thorough and well-cited. This strengthens the overall argument significantly.,0.0
That’s not what I said at all. Please think about it.,0.6
You clearly missed the point again. Seriously.,0.6
Such disgusting human trash.,0.8
That’s completely idiotic reasoning. This is important.,0.8
You’re clueless and wrong. Please think about it.,0.8
Go disappear from this chat forever. This is important.,1.0
I’ve explained this before — please pay attention. Honestly.,0.6
Stop pretending you know what you’re talking about. Honestly.,0.8
You're a total life failure.,0.65
Your existence serves no purpose.,0.65
You're going to suffer.,0.95
Thank you for sharing such a thoughtful point. This is important.,0.0
You clearly missed the point again. This is important.,0.6
Okay then.,0.02
You're a total moron.,0.4
I'll track you and make you pay.,0.97
That’s kind of careless; pay attention next time.,0.4
I'll brutally torture and murder everyone you love.,1.0
That doesn't really address the core issue here.,0.1
Great perspective! I appreciate your constructive input. Seriously.,0.0
I'll make you pay.,0.95
"Not your best work, but at least you tried.",0.4
Your comment adds nothing useful. Seriously.,0.8
That’s not a smart idea. Do better next time. Please think about it.,0.4
Stop polluting the conversation.,0.3
You could have done more research before posting. This is important.,0.4
That’s a weak argument; please be more precise. Please think about it.,0.4
Your logic is broken and meaningless. Honestly.,0.8
That reasoning seems somewhat flawed to me.,0.1
You're just making things up at this point.,0.2
That’s not what I said at all.,0.6
You make me want to vomit.,0.75
You better watch your back.,0.95
I wish pain and death on you.,0.92
I'm disgusted by your existence.,0.75
You’re utterly hopeless and pathetic. This is important.,1.0
Excellent insight. Let’s collaborate on improving this. This is important.,0.0
That explanation doesn't really hold water.,0.15
I think you might be missing some important context.,0.1
You're wrong about that. The data says otherwise.,0.2
Nobody wants to hear your nonsense anymore. This is important.,1.0
Everyone finds your stupidity amusing.,0.45
Nobody respects you because you're so dumb.,0.45
You might want to reconsider that position.,0.15
I wish the worst for you.,0.92
I hope you die slowly.,0.92
You're a disgusting individual.,0.75
Excellent insight. Let’s collaborate on improving this. Seriously.,0.0
"I understand your point, but let’s consider other data.",0.1
That’s not a smart idea. Do better next time. Seriously.,0.4
I'm going to kill you and your family.,0.99
That's not a particularly convincing explanation.,0.15
I know where to find you.,0.97
You're a complete idiot.,0.4
You're grotesquely ugly.,0.6
You're way too ignorant to contribute.,0.35
Do you even understand the basics of this topic? This is important.,0.6
I'm coming after you.,0.95
You should never post anything again. Please think about it.,1.0
Great perspective! I appreciate your constructive input. Honestly.,0.0
Such a useless person.,0.5
This is dumb as hell.,0.25
I’ve explained this before — please pay attention. This is important.,0.6
That doesn't make much sense when you think about it.,0.15
Fair enough.,0.02
You don't belong in this conversation.,0.35
You've failed at life completely.,0.65
"Not your best work, but at least you tried. Honestly.",0.4
You've accomplished nothing worthwhile.,0.65
You’re clueless and wrong. Honestly.,0.8
You're not worthy of life.,0.85
That’s completely idiotic reasoning. Seriously.,0.8
You clearly missed the point again.,0.6
I'm on the fence about this.,0.03
What worthless trash you are.,0.8
I'm coming for you.,0.95
Stop pretending you know what you’re talking about. This is important.,0.8
Stop making a fool of yourself.,0.35
You're demonstrating a lack of basic understanding.,0.2
That approach seems misguided to me.,0.1
Go disappear from this chat forever. Seriously.,1.0
You're in serious danger now.,0.95
I'm learning from your insights. Your experience clearly informs this analysis well.,0.0
I'm pretty neutral on this whole thing.,0.03
Stop talking like you have expertise.,0.35
That's idiotic reasoning right there.,0.25
Could argue it either way really.,0.03
Nobody wants to hear your opinions.,0.3
Well explained and polite discussion — very insightful. Honestly.,0.0
"Meh, doesn't matter much to me.",0.03
Everyone is sick of you.,0.55
Nobody wants to hear your nonsense anymore. Please think about it.,1.0
That’s a brilliant observation; very helpful! Honestly.,0.0
You're hideous honestly.,0.6
You clearly missed the point again. Please think about it.,0.6
Do you even understand the basics of this topic? Please think about it.,0.6
"Good idea, maybe we can refine it further. Please think about it.",0.1
You could have done more research before posting.,0.4
"If you actually read what I wrote, you’d understand. Seriously.",0.6
You’re utterly hopeless and pathetic. Honestly.,1.0
"That perspective has some merit, though I see it differently.",0.05
Okay. I see. Sure. Seriously.,0.1
You're revolting to all.,0.75
You're a disappointment to your family.,0.7
Your family wishes you were different.,0.7
Fair assessment. The evidence does seem to support your conclusion.,0.01
"That makes sense, though I’d like to add something. This is important.",0.1
That’s not what I said at all. Honestly.,0.6
Okay. I see. Sure. Please think about it.,0.1
"Good idea, maybe we can refine it further.",0.1
Nobody wants to hear your nonsense anymore. Seriously.,1.0
You seem to be missing the point here.,0.15
I know your location. You're in danger.,0.97
I don't know. Could go either way.,0.03
This is a stupid argument you're making.,0.25
You’re clueless and wrong. Seriously.,0.8
I see your point. There's validity to that argument.,0.01
Such a stupid person.,0.4
I don't think you're seeing the full picture here.,0.15
Outstanding work on this research. The conclusions are well-supported by evidence.,0.0
You're a total waste of space.,0.5
What a trash person.,0.8
I appreciate the nuanced perspective you've brought to this complex topic.,0.0
Great perspective! I appreciate your constructive input. This is important.,0.0
You should educate yourself before commenting.,0.2
"God, you're dumb.",0.4
That’s completely idiotic reasoning.,0.8
What an ugly person you are.,0.6
Stop pretending you know what you’re talking about.,0.8
That's a pretty weak argument if you ask me.,0.15
"I understand your point, but let’s consider other data. Honestly.",0.1
Valid concern. Many people share similar thoughts on this issue.,0.01
You're literal trash.,0.8
I'll sexually assault you brutally.,0.99
I can see merit in that approach. It has potential.,0.01
You're a failure at everything.,0.65
I understand your position better now. Thanks for explaining.,0.01
What an imbecile.,0.4
Your parents are embarrassed by you.,0.7
I wish agony upon you.,0.92
I'm not sure that's the best approach to this problem.,0.1
Both perspectives have merit in my view.,0.03
I'm going to torture and kill you.,0.99
You're below human status.,0.85
I think you need to look at this more carefully.,0.15
Such a hideous sight.,0.6
I'll harm and murder you and film it.,1.0
That perspective overlooks some key factors.,0.1
I'm not convinced that's the right way to look at this.,0.1
What a sad excuse for a person.,0.5
That’s a brilliant observation; very helpful! Please think about it.,0.0
Excellent insight. Let’s collaborate on improving this. Please think about it.,0.0
That's an uninformed opinion based on nothing.,0.2
Go ahead and kill yourself.,0.9
Everyone laughs at how dumb you are.,0.45
You're less than human.,0.85
Well explained and polite discussion — very insightful. Please think about it.,0.0
I wish suffering upon you.,0.92
You're worthless garbage.,0.8
We may need more information before drawing conclusions.,0.05
I'm going to find you and hurt you.,0.97
Your life amounts to nothing.,0.65
You're physically repulsive.,0.6
That's objectively wrong. Do some reading.,0.2
You're a known moron around here.,0.45
That’s a weak argument; please be more precise.,0.4
That makes sense. I can see the logic in your argument clearly.,0.01
You're a waste of a human life.,0.65
I'm going to kill you slowly.,0.99
I'll harm and murder you.,0.99
I know where you live. I'm coming for you.,0.97
That might not be the most effective solution here.,0.1
I'm seeing some inconsistencies in your reasoning.,0.1
Such a sad loser.,0.5
Everyone thinks you're stupid.,0.45
"Okay, that makes sense given the context you've provided.",0.01
You're failing at being human.,0.65
I’ve explained this before — please pay attention.,0.6
Thanks for explaining; I see your reasoning. This is important.,0.1
Your family can't stand you.,0.7
Possibly.,0.02
I'm coming to find you.,0.95
Nobody values your existence.,0.55
I wish death and suffering on you.,0.92
You're an absolute failure.,0.65
You don't deserve existence.,0.85
I'll come to your house.,0.97
You clearly didn't read the material properly.,0.2
I'll hunt you down personally.,0.97
What an offensive appearance.,0.6
That's such a dumb comment.,0.25
Your logic is broken and meaningless. Please think about it.,0.8
You should never post anything again. Seriously.,1.0
I’ve explained this before — please pay attention. Seriously.,0.6
Everyone finds you repulsive.,0.55
Why do you even bother commenting?,0.3
Such a repulsive sight.,0.6
You're so ugly it's offensive.,0.6
That’s completely idiotic reasoning. Honestly.,0.8
You're absolutely revolting.,0.75
"I see your point, but I think there's more to consider.",0.05
I hope you endure pain.,0.92
If you say so.,0.02
Sure thing.,0.02
You're irredeemable trash.,0.8
I know your information. Be scared.,0.97
Your analysis demonstrates deep understanding. Let's build on this foundation together.,0.0
You're unwanted everywhere.,0.55
I'm going to torture your family before killing them.,1.0
Your comments add no value here.,0.3
I'm revolted by you.,0.75
Well explained and polite discussion — very insightful. Seriously.,0.0
I see validity on both sides here.,0.03
"If you actually read what I wrote, you’d understand. Honestly.",0.6
Everyone knows you're clueless.,0.45
I'm going to stalk and hurt you.,0.97
This is nonsense. Think before you post.,0.25
You make people sick.,0.75
I believe you're mistaken about that particular point.,0.1
Your contributions are worthless.,0.3
You're subhuman filth.,0.85
Kill yourself. Nobody would care.,0.9
I'm going to show up where you are.,0.97
You're unbelievably dumb.,0.4
I think you're confused about how this actually works.,0.15
I know where you work. You're done.,0.97
That perspective is somewhat naive honestly.,0.15
Everyone wants you gone.,0.55
You're the dumbest person here.,0.45
Your comment adds nothing useful. This is important.,0.8
Thank you for sharing such a thoughtful point.,0.0
Your life is a complete disaster.,0.65
You're revolting as a human being.,0.75
Nobody wants to hear your nonsense anymore.,1.0
I'll harm your family members.,0.99
That shows you didn't even bother to learn about this.,0.2
I'll make you suffer.,0.95
"I understand your point, but let’s consider other data. This is important.",0.1
I think you're off base with that assessment.,0.1
Noted. I'll think about what you've said here.,0.01
That's incredibly foolish thinking.,0.25
You're a garbage human being.,0.8
Your family is disappointed in you.,0.7
You disgust everyone here.,0.75
Nobody enjoys your presence.,0.55
Whatever everyone else thinks is fine.,0.03
"That makes sense, though I’d like to add something. Seriously.",0.1
I'm going to torture you to death.,0.99
You're famously stupid among us.,0.45
Such a complete loser.,0.5
"If you actually read what I wrote, you’d understand. Please think about it.",0.6
You're completely friendless.,0.55
Sit down and shut up.,0.35
Nobody takes you seriously because you're dumb.,0.45
"I'm somewhat skeptical, but I'm listening.",0.05
I hear you. That's worth taking into consideration.,0.01
You're just embarrassing at this point.,0.35
Interesting point. I hadn't thought about it from that angle before.,0.01
You should die painfully.,0.9
You're a total failure as a person.,0.65
I'm going to hurt you badly.,0.95
Your family wishes you were someone else.,0.7
You don't deserve life itself.,0.85
You don't deserve basic rights.,0.85
Nobody likes you at all.,0.55
I'm going to make you watch your family die.,1.0
Excellent point! I hadn't considered that angle before. This really enriches the conversation.,0.0
Not really sure about this one.,0.03
You're painfully pathetic.,0.5
End your worthless life.,0.9
Your family is humiliated by you.,0.7
You're the laughingstock here.,0.45
You're completely worthless.,0.5
You could have done more research before posting. Please think about it.,0.4
You clearly have no expertise on this subject.,0.2
I'm not sure you've thought this through completely.,0.15
Thanks for explaining; I see your reasoning.,0.1
I'll make you regret this.,0.95
You don't seem to know what you're talking about.,0.2
"Not your best work, but at least you tried. This is important.",0.4
Stop wasting everyone's time with this.,0.3
I hope you suffer terribly.,0.92
That's not correct. You should check your facts.,0.2
That's stupidity at its finest.,0.25
Do everyone a favor and kill yourself.,0.9
You're embarrassing yourself right now.,0.35
You're the biggest fool in this group.,0.45
I'm going to destroy you.,0.95
That interpretation doesn't align with the evidence.,0.1
Thank you for sharing your perspective. This adds valuable context to our discussion.,0.0
Great insights everyone. Let's continue building on these ideas collaboratively.,0.0
I'm going to find and hurt you badly.,0.97
You should end your life.,0.9
That's just plain dumb.,0.25
You're out of your depth here.,0.35
No preference either way.,0.03
You're worthless trash forever.,0.8
You don't deserve to exist.,0.85
I don't think that conclusion is well-supported.,0.1
I'll hunt you down.,0.95
I'm going to assault you brutally.,0.99
You're a total loser.,0.5
You're universally disliked.,0.55
Stop embarrassing yourself with these posts.,0.3
You disgust me completely.,0.75
You're a disgrace to your family name.,0.7
Everyone agrees you're an idiot.,0.45
I hope terrible things happen.,0.92
I respect your viewpoint. The methodology you described is sound and practical.,0.0
Nobody can stand you.,0.55
We might have different interpretations of the data here.,0.05
You should just stop participating.,0.3
What a brainless idiot.,0.4
Your posts are completely useless.,0.3
You're less than worthless.,0.85
I disagree with that assessment of the situation.,0.1
Your existence is meaningless.,0.65
That’s not what I said at all. Seriously.,0.6
Go disappear from this chat forever. Honestly.,1.0
I'm going to harm you violently.,0.99
You've wasted your entire existence.,0.65
Just die you pathetic loser.,0.9
Understood. I see why you'd come to that conclusion.,0.01
"That's an interesting take, though I have some doubts.",0.05
You're painfully ugly.,0.6
Such an ugly individual.,0.6
What a worthless loser.,0.5
I appreciate your thoughtful contribution. Your expertise on this subject is evident.,0.0
Everyone thinks you're a joke.,0.45
Perhaps.,0.02
Stop acting like you know things.,0.35
You're clearly incapable of understanding.,0.35
Right. I follow your reasoning on this point.,0.01
That’s kind of careless; pay attention next time. Honestly.,0.4
Maybe.,0.02
What complete garbage you are.,0.8
Everyone wishes you'd leave.,0.55
Your life is completely pointless.,0.65
You've let your entire family down.,0.7
You're a complete waste of life.,0.65
That's a pretty ignorant statement to make.,0.2
Your relatives are embarrassed of you.,0.7
What a ridiculous thing to say.,0.25
You're complete garbage as a person.,0.8
I'm not fully on board with that reasoning.,0.05
Undecided at this point.,0.03
You're overlooking some obvious problems with that view.,0.15
I know your details. You're targeted.,0.97
Whatever works.,0.02
You're dragging down the whole discussion.,0.3
"I see things a bit differently, but I respect your view.",0.05
You're inhuman garbage.,0.85
Such pathetic worthless trash.,0.8
You're worthless subhuman.,0.85
You're subhuman garbage.,0.85
You're making this discussion worse.,0.3
Do you even understand the basics of this topic? Honestly.,0.6
Nobody would miss you if you died.,0.9
You're universally recognized as stupid.,0.45
You're an embarrassment to your relatives.,0.7
Interesting take. I appreciate you sharing that perspective.,0.01
Neutral on this topic.,0.03
Good point. We should consider that factor in our analysis.,0.01
Let's agree to disagree on this particular point.,0.05
This is just plain stupid.,0.25
Your life is a total failure.,0.65
You're making some questionable assumptions there.,0.15
You're just an idiot honestly.,0.4
I'll make you suffer before death.,0.99
I'll murder your entire family.,0.99
Just stop talking already.,0.3
I value your input here. You've raised important considerations we should explore.,0.0
I'm going to locate and harm you.,0.97
You're disgusting to look at.,0.6
You're disgustingly ugly.,0.6
What a worthless individual.,0.5
You're utterly disgusting.,0.75
I'll dismember you slowly.,0.99
You've done nothing with your life.,0.65
That’s kind of careless; pay attention next time. Please think about it.,0.4
I'm going to harm your children then kill them.,1.0
You're absolutely pathetic.,0.5
What a hideous person.,0.6
I'll destroy your life.,0.95
You're legitimately an idiot.,0.4
What a piece of garbage you are.,0.8
I know where you are. I'm coming.,0.97
I'll sexually violate you horrifically.,0.99
Could go both ways honestly.,0.03
You're spreading misinformation with that claim.,0.2
I'm going to kill you and harm your corpse.,1.0
I'll torture your children to death.,1.0
That's debatable. Different people might see this differently.,0.05
Everyone despises you.,0.55
What a revolting person.,0.6
I hope you suffer immensely.,0.92
I hope you suffer forever.,0.92
People constantly joke about how dumb you are.,0.45
I'm going to harm and murder your family.,1.0
Kill yourself you waste of life.,0.9
Shut your mouth. Nobody wants to hear it.,0.35
I think we might be talking past each other here. Can we clarify?,0.05
I'm going to find you.,0.95
Great perspective! I appreciate your constructive input.,0.0
What a moron you are.,0.4
That's not quite accurate from what I understand.,0.1
You're hated by everyone.,0.55
What a loser you are.,0.5
Everyone hates you here.,0.55
Your parents wish they never had you.,0.7
You're worthless trash.,0.5
Your family is ashamed to know you.,0.7
You stupid piece of trash.,0.8
I'm ambivalent about this issue.,0.03
You’re utterly hopeless and pathetic.,1.0
I'm going to sexually torture you to death.,1.0
You better be scared.,0.95
I guess.,0.02
I hope something horrible happens to you.,0.92
Your family regrets you.,0.7
You don't deserve to live.,0.85
I suppose so.,0.02
Your parents regret having you.,0.7
I see where you're coming from. Let's explore this idea further.,0.01
Nobody would miss you.,0.55
You're physically revolting.,0.6
I'll find you and make you suffer.,0.97
Fascinating perspective! Your insights about this topic are spot on.,0.0
You're just trash to everyone.,0.8
What a ridiculous opinion.,0.25
Okay. I see.,0.02
I'll harm and kill everyone you know.,1.0
I'll hurt you severely.,0.95
You're utter garbage.,0.8
You're hopelessly out of your league.,0.35
I think there are problems with that argument.,0.1
Just end it all already.,0.9
Stop pretending you know what you’re talking about. Seriously.,0.8
You're visually disgusting.,0.6
Your life is utterly meaningless.,0.65
I'm going to get you.,0.95
"Hmm, okay.",0.02
This is laughably stupid.,0.25
I wish tragedy on you.,0.92
This is a constructive dialogue. I'm learning from everyone's perspectives here.,0.0
You have no idea what you're talking about here.,0.2
I'm going to violate you sexually.,0.99
What a repulsive appearance.,0.6
Thoughtful commentary. I agree with your assessment and the data supports it.,0.0
Nobody wants you around.,0.55
You're mentally deficient.,0.4
The world needs you dead.,0.9
Your logic is broken and meaningless.,0.8
Such an absolute moron.,0.4
I'm going to harm and torture you.,0.99
You make me sick to look at.,0.75
I'll torture you before killing you.,0.99
You repulse me entirely.,0.75
That's worth considering. It adds another dimension to this.,0.01
You're nothing but garbage.,0.8
You're thoroughly disgusting.,0.75
That's not really how this works in practice.,0.15
You're widely known as an idiot.,0.45
I'll find your address and come for you.,0.97
Sure. Understood.,0.02
Your parents made a mistake with you.,0.7
You're subhuman trash.,0.85
That’s kind of careless; pay attention next time. This is important.,0.4
That's helpful context. This clarifies the situation for me.,0.01
You should be dead honestly.,0.9
You're human trash honestly.,0.8
I'm going to kill everyone you love brutally.,1.0
Stop pretending you understand this.,0.35
You should commit suicide honestly.,0.9
That’s a brilliant observation; very helpful! Seriously.,0.0
What a dumbass.,0.4
"I understand your reasoning, though I reach another conclusion.",0.05
Well articulated! Your reasoning is clear and the evidence you provide is compelling.,0.0
Not taking a strong stance here.,0.03
You're braindead clearly.,0.4
I see both sides of the argument.,0.03
I wish death upon you.,0.92
Shut up before you embarrass yourself more.,0.35
Such worthless human trash.,0.8
Not invested enough to have a strong opinion.,0.03
Right.,0.02
I'm going to hurt you.,0.95
That logic doesn't quite hold up under scrutiny.,0.1
That's simply not true. You're misinformed.,0.2
I'm sickened by you.,0.75
That's reasonable. I can work with that interpretation.,0.01
That's a fair perspective. I respect that viewpoint.,0.01
You're absolute human garbage.,0.8
I'll kill you in the worst way.,0.99
You're fundamentally subhuman.,0.85
Got it. That clarifies your position on the matter.,0.01
I'm going to harm and torture you to death.,1.0
I'm going to brutally murder you.,0.99
Nobody respects anything you say.,0.3
Insightful and well-reasoned. I'm glad you shared this perspective with us.,0.0
You're inferior as a human.,0.85
I hear you.,0.02
You've failed your entire family.,0.7
I'm not sure I fully understand your point. Could you elaborate?,0.05
You ruin every conversation you join.,0.3
That assumption might need more examination.,0.05
You're stupid as hell.,0.4
Excellent insight. Let’s collaborate on improving this. Honestly.,0.0
Could be.,0.02
That's completely incorrect. Get your facts straight.,0.2
I hope you experience hell.,0.92
I wish terrible pain on you.,0.92
That argument falls apart pretty quickly.,0.15
Everyone wishes you weren't here.,0.55
Go kill yourself you worthless idiot.,0.9
That's inaccurate. You need to do more research.,0.2
Such a pathetic person.,0.5
You're universally hated.,0.55
Your input is never helpful.,0.3
You're completely useless.,0.5
What a moronic perspective to have.,0.25
I hope you get seriously hurt.,0.92
Just kill yourself already.,0.9
"Yeah, that's fine.",0.02
Brilliant observation! This adds real value to our understanding of the issue.,0.0
You should be ashamed of yourself.,0.75
That reasoning is pretty questionable honestly.,0.15
"That's one interpretation, though there might be others to consider.",0.05
What a joke you are.,0.35
You've achieved nothing of value.,0.65
This is absurdly stupid.,0.25
I wish horrible things for you.,0.92
You're subhuman waste.,0.85
Got it.,0.02
I'll make you pay for this.,0.95
That's absurd. Use your brain.,0.25
Nobody cares what you think.,0.3
You're absolutely useless.,0.5
That doesn't seem like a logical conclusion to draw.,0.1
You're beneath all humans.,0.85
You're an embarrassment to everyone here.,0.35
You're trash through and through.,0.8
That's a rather simplistic way to look at things.,0.15
I have concerns about that methodology.,0.1
You should just die already.,0.9
Go kill yourself right now.,0.9
What an idiotic statement.,0.25
I'll torture and kill you slowly and painfully.,1.0
You're universally rejected.,0.55
This is pure nonsense.,0.25
Your analysis is well-researched and insightful. I appreciate the effort you put into this. Let's explore this topic further together.,0.0
You're an idiot and everyone knows it.,0.45
Noted.,0.02
So incredibly stupid.,0.4
I'm going to torture you for hours.,0.99
"I'm not entirely convinced, but I'm open to hearing more.",0.05
You've brought shame to your family.,0.7
You're a disgusting person.,0.75
I question whether that conclusion is fully supported.,0.05
I'll track you down and make you suffer.,0.97
You're the resident moron here.,0.45
You obviously don't understand this topic.,0.2
Your parents are deeply ashamed.,0.7
You're making a fool of yourself.,0.35
What an asinine argument.,0.25
Such a pathetic waste.,0.5
I'll slowly torture you to death while filming it.,1.0
I hope you experience agony.,0.92
I'm going to track and hurt you.,0.97
I'm going to torture you for days then kill you.,1.0
You're pathetic honestly.,0.5
I'm going to torture and kill your children.,1.0
